sentence_id,instance_id,raw_text,targets
0,0,kamar saya ada kendala di ac tidak berfungsi optimal . dan juga wifi koneksi kurang stabil .,"[{'term': 'ac', 'opinion': 'tidak berfungsi optimal', 'polarity': 'negative'}, {'term': 'wifi koneksi', 'opinion': 'kurang stabil', 'polarity': 'negative'}]"
1,1,tempatnya bagus . kolam renangnya bersih .,"[{'term': 'tempatnya', 'opinion': 'bagus', 'polarity': 'positive'}, {'term': 'kolam renangnya', 'opinion': 'bersih', 'polarity': 'positive'}]"
2,2,"oke banget , tetapi ac nya tidak bisa diatur suhu nya .","[{'term': 'ac nya', 'opinion': 'tidak bisa diatur suhu nya', 'polarity': 'negative'}, {'term': 'null', 'opinion': 'oke banget', 'polarity': 'positive'}]"
3,3,keren . nyaman semuanya .,"[{'term': 'semuanya', 'opinion': 'nyaman', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'keren', 'polarity': 'positive'}]"
4,4,"tidak dapat snack . setelah di keluhan , baru dikasik snacknya .","[{'term': 'snack', 'opinion': 'tidak dapat', 'polarity': 'negative'}]"
5,5,overall bagus . terjangkau . kapan kapam inap di airy room lagi deh .,"[{'term': 'overall', 'opinion': 'bagus', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'terjangkau', 'polarity': 'positive'}]"
6,6,"pelayanan mas nya sangat baik , membantu , ramah dan komunikatif , kamar sangat bersih , kamar mandi sangat baik . cuma air panasnya tidak bisa lama .","[{'term': 'pelayanan mas nya', 'opinion': 'sangat baik', 'polarity': 'positive'}, {'term': 'pelayanan mas nya', 'opinion': 'membantu', 'polarity': 'positive'}, {'term': 'pelayanan mas nya', 'opinion': 'ramah', 'polarity': 'positive'}, {'term': 'pelayanan mas nya', 'opinion': 'komunikatif', 'polarity': 'positive'}, {'term': 'kamar', 'opinion': 'sangat bersih', 'polarity': 'positive'}, {'term': 'kamar mandi', 'opinion': 'sangat baik', 'polarity': 'positive'}, {'term': 'air panasnya', 'opinion': 'tidak bisa lama', 'polarity': 'negative'}]"
7,7,airyroom ini sangat mengecewakan dalam hal layanan dan kebersihan kamar .,"[{'term': 'layanan', 'opinion': 'sangat mengecewakan', 'polarity': 'negative'}, {'term': 'kebersihan kamar', 'opinion': 'sangat mengecewakan', 'polarity': 'negative'}]"
8,8,agak perlu dibersihkan . kamar banyak semut .,"[{'term': 'kamar', 'opinion': 'agak perlu dibersihkan', 'polarity': 'negative'}, {'term': 'kamar', 'opinion': 'banyak semut', 'polarity': 'negative'}]"
9,9,pelayanan sangat buruk . mohon diperbaiki .,"[{'term': 'pelayanan', 'opinion': 'sangat buruk', 'polarity': 'negative'}, {'term': 'pelayanan', 'opinion': 'mohon diperbaiki', 'polarity': 'negative'}]"
10,10,kamarnya oke .,"[{'term': 'kamarnya', 'opinion': 'oke', 'polarity': 'positive'}]"
11,11,"saya sampai sanur itu sekitar pukul 20.00 wita mutermuter cari hotel ini , sampai telepon ke cs pun tidak cukup membantu kami menemukan hotel ini , kami tanya orang sekitar pun tidak ada yang tahu dimana ananda beach hotel ini . alamat tidak akurat sama sekali !","[{'term': 'cs', 'opinion': 'tidak cukup membantu', 'polarity': 'negative'}, {'term': 'alamat', 'opinion': 'tidak akurat sama sekali', 'polarity': 'negative'}]"
12,12,"recomended , hotel dengan price murah tetapi fasilitas oke punya . makanannya juga oke , pelayanan oke , bapak .","[{'term': 'price', 'opinion': 'murah', 'polarity': 'positive'}, {'term': 'fasilitas', 'opinion': 'oke', 'polarity': 'positive'}, {'term': 'makanannya', 'opinion': 'oke', 'polarity': 'positive'}, {'term': 'pelayanan', 'opinion': 'oke', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'recomended', 'polarity': 'positive'}]"
13,13,fasilitas lengkap . dapat snack juga dari airy . terimakasih airy .,"[{'term': 'fasilitas', 'opinion': 'lengkap', 'polarity': 'positive'}, {'term': 'snack', 'opinion': 'dapat', 'polarity': 'positive'}]"
14,14,pelayanan nya sangat bagus . kamar nya juga oke .,"[{'term': 'pelayanan nya', 'opinion': 'sangat bagus', 'polarity': 'positive'}, {'term': 'kamar nya', 'opinion': 'oke', 'polarity': 'positive'}]"
15,15,"kamar cukup luas , interior menarik dan unik sekali , penempatan furniture tepat , suka banget dengan kamar mandinya , walpaper kamar beragam , pencahayaan dibuat dramatis , tidak terlalu terang tetapi baguss . hanya saja tidak tersedia sarapan , naik ke lantai 1 dengan tangga , lift tidak berfungsi .","[{'term': 'kamar', 'opinion': 'cukup luas', 'polarity': 'positive'}, {'term': 'interior', 'opinion': 'menarik', 'polarity': 'positive'}, {'term': 'interior', 'opinion': 'unik sekali', 'polarity': 'positive'}, {'term': 'penempatan furniture', 'opinion': 'tepat', 'polarity': 'positive'}, {'term': 'kamar mandinya', 'opinion': 'suka banget', 'polarity': 'positive'}, {'term': 'walpaper kamar', 'opinion': 'beragam', 'polarity': 'positive'}, {'term': 'pencahayaan', 'opinion': 'dibuat dramatis', 'polarity': 'positive'}, {'term': 'pencahayaan', 'opinion': 'tidak terlalu terang', 'polarity': 'negative'}, {'term': 'pencahayaan', 'opinion': 'baguss', 'polarity': 'positive'}, {'term': 'sarapan', 'opinion': 'tidak tersedia', 'polarity': 'negative'}, {'term': 'lift', 'opinion': 'naik ke lantai 1 dengan tangga , lift tidak berfungsi', 'polarity': 'negative'}]"
16,16,"lokasi strategis harga terjangkau bangunan lama memang , tetapi dengan harga yang terjangkau dan lokasi tengah kota sangat worthy dan sudah 3x ini menginap di sini wifi kencang dapat sarapan pula , menu homey tetapi tasty keamanan 24jam ramahramah overall bagus .","[{'term': 'lokasi', 'opinion': 'strategis', 'polarity': 'positive'}, {'term': 'harga', 'opinion': 'terjangkau', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'bangunan lama', 'polarity': 'negative'}, {'term': 'lokasi', 'opinion': 'tengah kota', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'sangat worthy', 'polarity': 'positive'}, {'term': 'wifi', 'opinion': 'kencang', 'polarity': 'positive'}, {'term': 'sarapan', 'opinion': 'dapat', 'polarity': 'positive'}, {'term': 'menu', 'opinion': 'homey', 'polarity': 'positive'}, {'term': 'menu', 'opinion': 'tasty', 'polarity': 'positive'}, {'term': 'keamanan', 'opinion': '24jam', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'ramahramah', 'polarity': 'positive'}, {'term': 'overall', 'opinion': 'bagus', 'polarity': 'positive'}]"
17,17,nyaman banget kamarnya . bersiih . dan buat betah . next klau kesana bisa jadi rekomendasi buat tempat tinggal sementara .,"[{'term': 'kamarnya', 'opinion': 'nyaman banget', 'polarity': 'positive'}, {'term': 'kamarnya', 'opinion': 'bersiih', 'polarity': 'positive'}, {'term': 'kamarnya', 'opinion': 'buat betah', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'next klau kesana bisa jadi rekomendasi buat tempat tinggal sementara', 'polarity': 'positive'}]"
18,18,tempat tdr kurang bersih .,"[{'term': 'tempat tdr', 'opinion': 'kurang bersih', 'polarity': 'negative'}]"
19,19,"tempat nya nyaman dan harga nya pun terjangkau , cocok sekali untuk liburan keluarga .","[{'term': 'tempat nya', 'opinion': 'nyaman', 'polarity': 'positive'}, {'term': 'harga nya', 'opinion': 'terjangkau', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'cocok sekali untuk liburan keluarga', 'polarity': 'positive'}]"
20,20,kamar oke . ac kurang dingin . lampu kamar mandi ada yang mati .,"[{'term': 'kamar', 'opinion': 'oke', 'polarity': 'positive'}, {'term': 'ac', 'opinion': 'kurang dingin', 'polarity': 'negative'}, {'term': 'lampu kamar mandi', 'opinion': 'ada yang mati', 'polarity': 'negative'}]"
21,21,"kamar luas dan kedap , bersih makanan enak . dan lokasi strategis .","[{'term': 'kamar', 'opinion': 'luas', 'polarity': 'positive'}, {'term': 'kamar', 'opinion': 'kedap', 'polarity': 'positive'}, {'term': 'kamar', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'makanan', 'opinion': 'enak', 'polarity': 'positive'}, {'term': 'lokasi', 'opinion': 'strategis', 'polarity': 'positive'}]"
22,22,semuanya sudah baik tetapi didalam kamar tidak ada tempat untuk menggantungkan baju atau celana .,"[{'term': 'semuanya', 'opinion': 'sudah baik', 'polarity': 'positive'}, {'term': 'kamar', 'opinion': 'tidak ada tempat untuk menggantungkan baju atau celana', 'polarity': 'negative'}]"
23,23,"hanya wifi yang kurang memuaskan , wifi tidak bisa dipakai , selebihnya tidak masalah .","[{'term': 'wifi', 'opinion': 'kurang memuaskan', 'polarity': 'negative'}, {'term': 'wifi', 'opinion': 'tidak bisa dipakai', 'polarity': 'negative'}, {'term': 'selebihnya', 'opinion': 'tidak masalah', 'polarity': 'positive'}]"
24,24,breakfastnya bervariasi dan sehat . thank you for servicing .,"[{'term': 'breakfastnya', 'opinion': 'bervariasi', 'polarity': 'positive'}, {'term': 'breakfastnya', 'opinion': 'sehat', 'polarity': 'positive'}]"
25,25,"kamar bersih , kasur bersih ( aku paling cepat bereaksi kalau ada tungau walau cma sedikit ) , 24 jam petugasnya siap sedia buat bantuin . top deh !","[{'term': 'kamar', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'kasur', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'petugasnya', 'opinion': '24 jam petugasnya siap sedia buat bantuin', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'top', 'polarity': 'positive'}]"
26,26,"bersih , rapi , tetapi properti nya kurang diperlengkapi , kurang nyaman juga karena banyak kebisingan , apalagi dari ruangan aula nya karena ada acara .","[{'term': 'properti nya', 'opinion': 'kurang diperlengkapi', 'polarity': 'negative'}, {'term': 'null', 'opinion': 'kurang nyaman juga karena banyak kebisingan , apalagi dari ruangan aula nya karena ada acara', 'polarity': 'negative'}, {'term': 'null', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'rapi', 'polarity': 'positive'}]"
27,27,"terlalu sempit kamarnya , tetapi lumayanlah dengan budget yang segitu , pelayanan hotel juga lumayan bagus dan ramah , airy memang joss .","[{'term': 'kamarnya', 'opinion': 'terlalu sempit', 'polarity': 'negative'}, {'term': 'kamarnya', 'opinion': 'lumayanlah dengan budget yang segitu', 'polarity': 'positive'}, {'term': 'pelayanan hotel', 'opinion': 'lumayan bagus', 'polarity': 'positive'}, {'term': 'pelayanan hotel', 'opinion': 'ramah', 'polarity': 'positive'}, {'term': 'airy', 'opinion': 'joss', 'polarity': 'positive'}]"
28,28,"begitu masuk pertama , kesan yang diterima adalah jorok . mohon maaf , ada kotoran ( eek ) masih melekat di bibir kloset . seperti tidak dibersihkan . kemudian semakin malam , banyak kecoak bermunculan , awalnya saya baca review dari app tetangga yang bilang banyak kecoak , saya tidak percaya . tetapi begitu mengalami sendiri , sangat horor , tidur jadi tidak nyenyak .","[{'term': 'bibir kloset', 'opinion': 'ada kotoran ( eek ) masih melekat', 'polarity': 'negative'}, {'term': 'bibir kloset', 'opinion': 'seperti tidak dibersihkan', 'polarity': 'negative'}, {'term': 'null', 'opinion': 'jorok', 'polarity': 'negative'}, {'term': 'null', 'opinion': 'banyak kecoak bermunculan', 'polarity': 'negative'}, {'term': 'null', 'opinion': 'sangat horor , tidur jadi tidak nyenyak', 'polarity': 'negative'}]"
29,29,"saya salah dikasih kamar , tidak ada handuk , gayung , airy pack , kasur tidak pakai seprai , lemari juga kotor .","[{'term': 'kamar', 'opinion': 'saya salah dikasih kamar', 'polarity': 'negative'}, {'term': 'handuk', 'opinion': 'tidak ada', 'polarity': 'negative'}, {'term': 'gayung', 'opinion': 'tidak ada', 'polarity': 'negative'}, {'term': 'airy pack', 'opinion': 'tidak ada', 'polarity': 'negative'}, {'term': 'kasur', 'opinion': 'tidak pakai seprai', 'polarity': 'negative'}, {'term': 'lemari', 'opinion': 'kotor', 'polarity': 'negative'}]"
30,30,bersih . tetapi sulit ditemukan .,"[{'term': 'null', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'sulit ditemukan', 'polarity': 'negative'}]"
31,31,lampu kamar tidak menyala . yang lain oke laah . topp .,"[{'term': 'lampu kamar', 'opinion': 'tidak menyala', 'polarity': 'negative'}, {'term': 'yang lain', 'opinion': 'oke laah . topp', 'polarity': 'positive'}]"
32,32,nyaman .,"[{'term': 'null', 'opinion': 'nyaman', 'polarity': 'positive'}]"
33,33,"bagus bersih nyaman , cuma tempat terlalu kedalam .","[{'term': 'tempat', 'opinion': 'terlalu kedalam', 'polarity': 'negative'}, {'term': 'null', 'opinion': 'bagus', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'nyaman', 'polarity': 'positive'}]"
